"","file","channel","mean","sd"
"1","pMed_None_0_1.fcs","BL1-H",14065.6856135571,3.69713174089346
"2","pMed_None_0_1.fcs","normalised_BL1-H",17772.439416889,1.75375962404867
"3","pMed_None_0_1.fcs","calibrated_BL1-H",42704.351632172,3.81842449628054
"4","pMed_None_0_1.fcs","calibrated_normalised_BL1-H",54270.7967240767,1.77825127253438
"5","pMed_None_0_10.fcs","BL1-H",4105.50782199545,12.8683957548119
"6","pMed_None_0_10.fcs","normalised_BL1-H",14082.2843664163,2.99120031272887
"7","pMed_None_0_10.fcs","calibrated_BL1-H",12091.3633934326,13.7061670007658
"8","pMed_None_0_10.fcs","calibrated_normalised_BL1-H",42755.9914300549,3.0732156097424
"9","pMed_None_0_2.fcs","BL1-H",13353.1050496398,2.02389307488439
"10","pMed_None_0_2.fcs","normalised_BL1-H",13756.8784235517,1.70349519617632
"11","pMed_None_0_2.fcs","calibrated_BL1-H",40488.9092430635,2.05942809142663
"12","pMed_None_0_2.fcs","calibrated_normalised_BL1-H",41743.9086372191,1.72604529864676
"13","pMed_None_0_3.fcs","BL1-H",16272.0637294663,2.32711470166975
"14","pMed_None_0_3.fcs","normalised_BL1-H",17485.7527168965,1.65530050403779
"15","pMed_None_0_3.fcs","calibrated_BL1-H",49581.0983720343,2.37614904749194
"16","pMed_None_0_3.fcs","calibrated_normalised_BL1-H",53373.9230353711,1.67602469808081
"17","pMed_None_0_4.fcs","BL1-H",12240.7466324196,2.5952189354505
"18","pMed_None_0_4.fcs","normalised_BL1-H",13504.2071564739,1.78026888040504
"19","pMed_None_0_4.fcs","calibrated_BL1-H",37036.4334453882,2.6570455920304
"20","pMed_None_0_4.fcs","calibrated_normalised_BL1-H",40958.4532405383,1.80579944296022
"21","pMed_None_0_5.fcs","BL1-H",15218.8311348887,3.2821869492828
"22","pMed_None_0_5.fcs","normalised_BL1-H",18258.5901578027,1.73399025156251
"23","pMed_None_0_5.fcs","calibrated_BL1-H",46295.3474101075,3.3799182917839
"24","pMed_None_0_5.fcs","calibrated_normalised_BL1-H",55792.4894437666,1.75771380866814
"25","pMed_None_0_6.fcs","BL1-H",10666.7346454101,3.99955747104834
"26","pMed_None_0_6.fcs","normalised_BL1-H",13918.1751456708,1.92363380923118
"27","pMed_None_0_6.fcs","calibrated_BL1-H",32164.5143385943,4.1387980369343
"28","pMed_None_0_6.fcs","calibrated_normalised_BL1-H",42245.503281852,1.95495484799477
"29","pMed_None_0_7.fcs","BL1-H",16428.9312607474,2.28010775306535
"30","pMed_None_0_7.fcs","normalised_BL1-H",17539.5653717219,1.67265273778469
"31","pMed_None_0_7.fcs","calibrated_BL1-H",50070.9331424297,2.32697901959676
"32","pMed_None_0_7.fcs","calibrated_normalised_BL1-H",53542.2436147167,1.69403025189602
"33","pMed_None_0_8.fcs","BL1-H",12138.5174725072,2.90883258339255
"34","pMed_None_0_8.fcs","normalised_BL1-H",13768.1973610868,1.89005342936667
"35","pMed_None_0_8.fcs","calibrated_BL1-H",36719.5185366871,2.98652996859113
"36","pMed_None_0_8.fcs","calibrated_normalised_BL1-H",41779.1031380375,1.91999276253171
"37","pMed_None_0_9.fcs","BL1-H",11660.9843416416,4.39079813506934
"38","pMed_None_0_9.fcs","normalised_BL1-H",15800.9312060012,1.98836217924825
"39","pMed_None_0_9.fcs","calibrated_BL1-H",35240.0263994794,4.55414017787882
"40","pMed_None_0_9.fcs","calibrated_normalised_BL1-H",48110.6445470602,2.02238885015184
