"strain","host","plasmid","plasmid_2","strain_2","media","sugar","amino_acids","inducer","concentration","init_ratio","init_dilution","well","time","GFP","mCherry","OD600","OD700","row","column"
"","","","","","","","","",NA,NA,NA,"A1",0,NA,NA,NA,NA,"A",1
"","","","","","","","","",NA,NA,NA,"A2",0,NA,NA,NA,NA,"A",2
"","","","","","","","","",NA,NA,NA,"A3",0,NA,NA,NA,NA,"A",3
"","","","","","","","","",NA,NA,NA,"A4",0,NA,NA,NA,NA,"A",4
"","","","","","","","","",NA,NA,NA,"A5",0,NA,NA,NA,NA,"A",5
"","","","","","","","","",NA,NA,NA,"A6",0,NA,NA,NA,NA,"A",6
"","","","","","","","","",NA,NA,NA,"A7",0,NA,NA,NA,NA,"A",7
"","","","","","","","","",NA,NA,NA,"A8",0,NA,NA,NA,NA,"A",8
"","","","","","","","","",NA,NA,NA,"A9",0,NA,NA,NA,NA,"A",9
"","","","","","","","","",NA,NA,NA,"A10",0,NA,NA,NA,NA,"A",10
"","","","","","","","","",NA,NA,NA,"A11",0,NA,NA,NA,NA,"A",11
"","","","","","","","","",NA,NA,NA,"A12",0,NA,NA,NA,NA,"A",12
"","","","","","","","","",NA,NA,NA,"B1",0,NA,NA,NA,NA,"B",1
"","","","","","","","","",NA,NA,NA,"B2",0,NA,NA,NA,NA,"B",2
"","","","","","","","","",NA,NA,NA,"B3",0,NA,NA,NA,NA,"B",3
"","","","","","","","","",NA,NA,NA,"B4",0,NA,NA,NA,NA,"B",4
"","","","","","","","","",NA,NA,NA,"B5",0,NA,NA,NA,NA,"B",5
"","","","","","","","","",NA,NA,NA,"B6",0,NA,NA,NA,NA,"B",6
"","","","","","","","","",NA,NA,NA,"B7",0,NA,NA,NA,NA,"B",7
"","","","","","","","","",NA,NA,NA,"B8",0,NA,NA,NA,NA,"B",8
"","","","","","","","","",NA,NA,NA,"B9",0,NA,NA,NA,NA,"B",9
"","","","","","","","","",NA,NA,NA,"B10",0,NA,NA,NA,NA,"B",10
"","","","","","","","","",NA,NA,NA,"B11",0,NA,NA,NA,NA,"B",11
"","","","","","","","","",NA,NA,NA,"B12",0,NA,NA,NA,NA,"B",12
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,1,0.140625,"C1",0,7984,1320,0.1074,0.1003,"C",1
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.8,0.140625,"C2",0,7791,1110,0.1083,0.1006,"C",2
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.6,0.140625,"C3",0,7150,1014,0.1101,0.1018,"C",3
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.4,0.140625,"C4",0,7076,891,0.1168,0.108,"C",4
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.2,0.140625,"C5",0,6931,761,0.1108,0.1012,"C",5
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0,0.140625,"C6",0,6592,703,0.1208,0.1103,"C",6
"","","","","","","","","",NA,NA,NA,"C7",0,NA,NA,NA,NA,"C",7
"","","","","","","","","",NA,NA,NA,"C8",0,NA,NA,NA,NA,"C",8
"","","","","","","","","",NA,NA,NA,"C9",0,NA,NA,NA,NA,"C",9
"","","","","","","","","",NA,NA,NA,"C10",0,NA,NA,NA,NA,"C",10
"","","","","","","","","",NA,NA,NA,"C11",0,NA,NA,NA,NA,"C",11
"","","","","","M9","0.4% glycerol","casamino acids","AHL",0,NA,NA,"C12",0,6562,769,0.0937,0.0889,"C",12
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,1,0.052734375,"D1",0,7116,984,0.097,0.0909,"D",1
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.8,0.052734375,"D2",0,6985,947,0.1025,0.0968,"D",2
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.6,0.052734375,"D3",0,6901,900,0.1007,0.0949,"D",3
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.4,0.052734375,"D4",0,6858,776,0.1054,0.0991,"D",4
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.2,0.052734375,"D5",0,6757,749,0.0993,0.0922,"D",5
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0,0.052734375,"D6",0,6785,778,0.1041,0.0973,"D",6
"","","","","","","","","",NA,NA,NA,"D7",0,NA,NA,NA,NA,"D",7
"","","","","","","","","",NA,NA,NA,"D8",0,NA,NA,NA,NA,"D",8
"","","","","","","","","",NA,NA,NA,"D9",0,NA,NA,NA,NA,"D",9
"","","","","","","","","",NA,NA,NA,"D10",0,NA,NA,NA,NA,"D",10
"","","","","","","","","",NA,NA,NA,"D11",0,NA,NA,NA,NA,"D",11
"","","","","","M9","0.4% glycerol","casamino acids","AHL",0,NA,NA,"D12",0,6729,717,0.0908,0.0856,"D",12
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,1,0.019775391,"E1",0,6722,778,0.1009,0.0955,"E",1
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.8,0.019775391,"E2",0,6854,863,0.1044,0.0988,"E",2
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.6,0.019775391,"E3",0,6728,852,0.0991,0.0935,"E",3
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.4,0.019775391,"E4",0,6692,765,0.0963,0.0909,"E",4
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.2,0.019775391,"E5",0,6637,771,0.1008,0.0951,"E",5
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0,0.019775391,"E6",0,6798,706,0.102,0.0961,"E",6
"","","","","","","","","",NA,NA,NA,"E7",0,NA,NA,NA,NA,"E",7
"","","","","","","","","",NA,NA,NA,"E8",0,NA,NA,NA,NA,"E",8
"","","","","","","","","",NA,NA,NA,"E9",0,NA,NA,NA,NA,"E",9
"","","","","","","","","",NA,NA,NA,"E10",0,NA,NA,NA,NA,"E",10
"","","","","","","","","",NA,NA,NA,"E11",0,NA,NA,NA,NA,"E",11
"","","","","","M9","0.4% glycerol","casamino acids","AHL",0,NA,NA,"E12",0,6756,789,0.0983,0.0929,"E",12
"","","","","","","","","",NA,NA,NA,"F1",0,NA,NA,NA,NA,"F",1
"","","","","","","","","",NA,NA,NA,"F2",0,NA,NA,NA,NA,"F",2
"","","","","","","","","",NA,NA,NA,"F3",0,NA,NA,NA,NA,"F",3
"","","","","","","","","",NA,NA,NA,"F4",0,NA,NA,NA,NA,"F",4
"","","","","","","","","",NA,NA,NA,"F5",0,NA,NA,NA,NA,"F",5
"","","","","","","","","",NA,NA,NA,"F6",0,NA,NA,NA,NA,"F",6
"","","","","","","","","",NA,NA,NA,"F7",0,NA,NA,NA,NA,"F",7
"","","","","","","","","",NA,NA,NA,"F8",0,NA,NA,NA,NA,"F",8
"","","","","","","","","",NA,NA,NA,"F9",0,NA,NA,NA,NA,"F",9
"","","","","","","","","",NA,NA,NA,"F10",0,NA,NA,NA,NA,"F",10
"","","","","","","","","",NA,NA,NA,"F11",0,NA,NA,NA,NA,"F",11
"","","","","","","","","",NA,NA,NA,"F12",0,NA,NA,NA,NA,"F",12
"","","","","","","","","",NA,NA,NA,"G1",0,NA,NA,NA,NA,"G",1
"","","","","","","","","",NA,NA,NA,"G2",0,NA,NA,NA,NA,"G",2
"","","","","","","","","",NA,NA,NA,"G3",0,NA,NA,NA,NA,"G",3
"","","","","","","","","",NA,NA,NA,"G4",0,NA,NA,NA,NA,"G",4
"","","","","","","","","",NA,NA,NA,"G5",0,NA,NA,NA,NA,"G",5
"","","","","","","","","",NA,NA,NA,"G6",0,NA,NA,NA,NA,"G",6
"","","","","","","","","",NA,NA,NA,"G7",0,NA,NA,NA,NA,"G",7
"","","","","","","","","",NA,NA,NA,"G8",0,NA,NA,NA,NA,"G",8
"","","","","","","","","",NA,NA,NA,"G9",0,NA,NA,NA,NA,"G",9
"","","","","","","","","",NA,NA,NA,"G10",0,NA,NA,NA,NA,"G",10
"","","","","","","","","",NA,NA,NA,"G11",0,NA,NA,NA,NA,"G",11
"","","","","","","","","",NA,NA,NA,"G12",0,NA,NA,NA,NA,"G",12
"","","","","","","","","",NA,NA,NA,"H1",0,NA,NA,NA,NA,"H",1
"","","","","","","","","",NA,NA,NA,"H2",0,NA,NA,NA,NA,"H",2
"","","","","","","","","",NA,NA,NA,"H3",0,NA,NA,NA,NA,"H",3
"","","","","","","","","",NA,NA,NA,"H4",0,NA,NA,NA,NA,"H",4
"","","","","","","","","",NA,NA,NA,"H5",0,NA,NA,NA,NA,"H",5
"","","","","","","","","",NA,NA,NA,"H6",0,NA,NA,NA,NA,"H",6
"","","","","","","","","",NA,NA,NA,"H7",0,NA,NA,NA,NA,"H",7
"","","","","","","","","",NA,NA,NA,"H8",0,NA,NA,NA,NA,"H",8
"","","","","","","","","",NA,NA,NA,"H9",0,NA,NA,NA,NA,"H",9
"","","","","","","","","",NA,NA,NA,"H10",0,NA,NA,NA,NA,"H",10
"","","","","","","","","",NA,NA,NA,"H11",0,NA,NA,NA,NA,"H",11
"","","","","","","","","",NA,NA,NA,"H12",0,NA,NA,NA,NA,"H",12
"","","","","","","","","",NA,NA,NA,"A1",1199.825,NA,NA,NA,NA,"A",1
"","","","","","","","","",NA,NA,NA,"A2",1199.825,NA,NA,NA,NA,"A",2
"","","","","","","","","",NA,NA,NA,"A3",1199.825,NA,NA,NA,NA,"A",3
"","","","","","","","","",NA,NA,NA,"A4",1199.825,NA,NA,NA,NA,"A",4
