calibrant,fluorophore,media,concentration,replicate,well
fluorescein,GFP,PBS,10,1,A1
fluorescein,GFP,PBS,5,1,A2
fluorescein,GFP,PBS,2.5,1,A3
fluorescein,GFP,PBS,1.25,1,A4
fluorescein,GFP,PBS,0.625,1,A5
fluorescein,GFP,PBS,0.3125,1,A6
fluorescein,GFP,PBS,0.15625,1,A7
fluorescein,GFP,PBS,0.078125,1,A8
fluorescein,GFP,PBS,0.0390625,1,A9
fluorescein,GFP,PBS,0.01953125,1,A10
fluorescein,GFP,PBS,0.009765625,1,A11
fluorescein,GFP,PBS,0,1,A12
fluorescein,GFP,PBS,10,2,B1
fluorescein,GFP,PBS,5,2,B2
fluorescein,GFP,PBS,2.5,2,B3
fluorescein,GFP,PBS,1.25,2,B4
fluorescein,GFP,PBS,0.625,2,B5
fluorescein,GFP,PBS,0.3125,2,B6
fluorescein,GFP,PBS,0.15625,2,B7
fluorescein,GFP,PBS,0.078125,2,B8
fluorescein,GFP,PBS,0.0390625,2,B9
fluorescein,GFP,PBS,0.01953125,2,B10
fluorescein,GFP,PBS,0.009765625,2,B11
fluorescein,GFP,PBS,0,2,B12
fluorescein,GFP,PBS,10,3,C1
fluorescein,GFP,PBS,5,3,C2
fluorescein,GFP,PBS,2.5,3,C3
fluorescein,GFP,PBS,1.25,3,C4
fluorescein,GFP,PBS,0.625,3,C5
fluorescein,GFP,PBS,0.3125,3,C6
fluorescein,GFP,PBS,0.15625,3,C7
fluorescein,GFP,PBS,0.078125,3,C8
fluorescein,GFP,PBS,0.0390625,3,C9
fluorescein,GFP,PBS,0.01953125,3,C10
fluorescein,GFP,PBS,0.009765625,3,C11
fluorescein,GFP,PBS,0,3,C12
fluorescein,GFP,PBS,10,4,D1
fluorescein,GFP,PBS,5,4,D2
fluorescein,GFP,PBS,2.5,4,D3
fluorescein,GFP,PBS,1.25,4,D4
fluorescein,GFP,PBS,0.625,4,D5
fluorescein,GFP,PBS,0.3125,4,D6
fluorescein,GFP,PBS,0.15625,4,D7
fluorescein,GFP,PBS,0.078125,4,D8
fluorescein,GFP,PBS,0.0390625,4,D9
fluorescein,GFP,PBS,0.01953125,4,D10
fluorescein,GFP,PBS,0.009765625,4,D11
fluorescein,GFP,PBS,0,4,D12
microspheres,,ddH20,807692307.7,1,E1
microspheres,,ddH20,484615384.6,1,E2
microspheres,,ddH20,290769230.8,1,E3
microspheres,,ddH20,174461538.5,1,E4
microspheres,,ddH20,104676923.1,1,E5
microspheres,,ddH20,62806153.85,1,E6
microspheres,,ddH20,37683692.31,1,E7
microspheres,,ddH20,22610215.38,1,E8
microspheres,,ddH20,13566129.23,1,E9
microspheres,,ddH20,8139677.538,1,E10
microspheres,,ddH20,4883806.523,1,E11
microspheres,,ddH20,0,1,E12
microspheres,,ddH20,807692307.7,2,F1
microspheres,,ddH20,484615384.6,2,F2
microspheres,,ddH20,290769230.8,2,F3
microspheres,,ddH20,174461538.5,2,F4
microspheres,,ddH20,104676923.1,2,F5
microspheres,,ddH20,62806153.85,2,F6
microspheres,,ddH20,37683692.31,2,F7
microspheres,,ddH20,22610215.38,2,F8
microspheres,,ddH20,13566129.23,2,F9
microspheres,,ddH20,8139677.538,2,F10
microspheres,,ddH20,4883806.523,2,F11
microspheres,,ddH20,0,2,F12
microspheres,,ddH20,807692307.7,3,G1
microspheres,,ddH20,484615384.6,3,G2
microspheres,,ddH20,290769230.8,3,G3
microspheres,,ddH20,174461538.5,3,G4
microspheres,,ddH20,104676923.1,3,G5
microspheres,,ddH20,62806153.85,3,G6
microspheres,,ddH20,37683692.31,3,G7
microspheres,,ddH20,22610215.38,3,G8
microspheres,,ddH20,13566129.23,3,G9
microspheres,,ddH20,8139677.538,3,G10
microspheres,,ddH20,4883806.523,3,G11
microspheres,,ddH20,0,3,G12
microspheres,,ddH20,807692307.7,4,H1
microspheres,,ddH20,484615384.6,4,H2
microspheres,,ddH20,290769230.8,4,H3
microspheres,,ddH20,174461538.5,4,H4
microspheres,,ddH20,104676923.1,4,H5
microspheres,,ddH20,62806153.85,4,H6
microspheres,,ddH20,37683692.31,4,H7
microspheres,,ddH20,22610215.38,4,H8
microspheres,,ddH20,13566129.23,4,H9
microspheres,,ddH20,8139677.538,4,H10
microspheres,,ddH20,4883806.523,4,H11
microspheres,,ddH20,0,4,H12
