"calibrant","fluorophore","media","volume_uL","concentration","concentration_M","replicate","well","OD600","OD700","GFP 30","GFP 40","GFP 50","GFP 60","GFP 70","GFP 80","GFP 90","GFP 100","GFP 110","GFP 120","GFP 130","GFP 140","GFP 150","GFP 30 TOP","GFP 40 TOP","GFP 50 TOP","GFP 60 TOP","GFP 70 TOP","GFP 80 TOP","GFP 90 TOP","GFP 100 TOP","GFP 110 TOP","GFP 120 TOP","GFP 130 TOP","GFP 140 TOP","GFP 150 TOP","row","column"
"FITC","GFP","ddH20",125,7.5e+17,0.00997,1,"A1",NA,NA,845,8126,44144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,989,9452,51005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1
"FITC","GFP","ddH20",125,3.75e+17,0.00498,1,"A2",NA,NA,505,4873,26791,97416,NA,NA,NA,NA,NA,NA,NA,NA,NA,587,5613,30815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2
"FITC","GFP","ddH20",125,1.88e+17,0.00249,1,"A3",NA,NA,281,2734,15135,56530,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,3170,17523,65176,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",3
"FITC","GFP","ddH20",125,9.38e+16,0.00125,1,"A4",NA,NA,151,1473,8208,31150,90859,NA,NA,NA,NA,NA,NA,NA,NA,178,1715,9550,36030,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",4
"FITC","GFP","ddH20",125,4.69e+16,0.000623,1,"A5",NA,NA,79,754,4215,16074,47547,NA,NA,NA,NA,NA,NA,NA,NA,90,875,4866,18551,54952,NA,NA,NA,NA,NA,NA,NA,NA,"A",5
"FITC","GFP","ddH20",125,2.34e+16,0.000311,1,"A6",NA,NA,42,386,2166,8294,24696,62644,NA,NA,NA,NA,NA,NA,NA,47,450,2516,9554,28481,72428,NA,NA,NA,NA,NA,NA,NA,"A",6
"FITC","GFP","ddH20",125,1.17e+16,0.000156,1,"A7",NA,NA,23,193,1094,4165,12479,31892,72830,NA,NA,NA,NA,NA,NA,25,228,1276,4872,14564,37141,85171,NA,NA,NA,NA,NA,NA,"A",7
"FITC","GFP","ddH20",125,5.86e+15,7.79e-05,1,"A8",NA,NA,9,100,547,2078,6218,15954,36522,78495,NA,NA,NA,NA,NA,11,114,633,2410,7246,18449,42574,91706,NA,NA,NA,NA,NA,"A",8
"FITC","GFP","ddH20",125,2.93e+15,3.89e-05,1,"A9",NA,NA,5,50,280,1070,3195,8225,18818,40613,82648,NA,NA,NA,NA,5,60,331,1261,3775,9681,22378,48380,NA,NA,NA,NA,NA,"A",9
"FITC","GFP","ddH20",125,1.47e+15,1.95e-05,1,"A10",NA,NA,1,24,144,543,1631,4155,9568,20705,42595,81977,NA,NA,NA,3,29,167,649,1936,4951,11490,24912,50847,NA,NA,NA,NA,"A",10
"FITC","GFP","ddH20",125,7.33e+14,9.73e-06,1,"A11",NA,NA,0,16,74,296,881,2262,5204,11198,22864,44816,83711,NA,NA,0,15,91,351,1037,2685,6152,13368,27210,53606,NA,NA,NA,"A",11
"FITC","GFP","ddH20",125,0,0,1,"A12",NA,NA,0,0,3,14,36,91,204,465,922,1793,3373,5814,10778,0,0,3,15,34,91,221,458,956,1761,3509,6035,10594,"A",12
"FITC","GFP","ddH20",125,7.5e+17,0.00997,2,"B1",NA,NA,859,8254,44347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1032,9824,52473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1
"FITC","GFP","ddH20",125,3.75e+17,0.00498,2,"B2",NA,NA,500,4799,26294,95675,NA,NA,NA,NA,NA,NA,NA,NA,NA,582,5549,30277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2
"FITC","GFP","ddH20",125,1.88e+17,0.00249,2,"B3",NA,NA,278,2670,14760,55078,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,3262,17990,66722,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",3
"FITC","GFP","ddH20",125,9.38e+16,0.00125,2,"B4",NA,NA,151,1456,8082,30645,89602,NA,NA,NA,NA,NA,NA,NA,NA,176,1724,9570,36188,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",4
