"cf","beta","calibrant","fluorophore","measure"
1.73411407582599e-15,2.46476510092312e-10,"FITC","GFP","GFP 30"
1.58206584654132e-14,2.28051952205029e-10,"FITC","GFP","GFP 40"
8.72349620423461e-14,2.09924902425371e-10,"FITC","GFP","GFP 50"
3.4171812813719e-13,2.04751511913593e-10,"FITC","GFP","GFP 60"
1.07314591295955e-12,1.87544535531197e-10,"FITC","GFP","GFP 70"
2.80481604754579e-12,1.90037751716375e-10,"FITC","GFP","GFP 80"
6.48422213271198e-12,1.74671525158919e-10,"FITC","GFP","GFP 90"
1.41135422745713e-11,2.29248723370256e-10,"FITC","GFP","GFP 100"
2.91248205816367e-11,1.95386169356061e-10,"FITC","GFP","GFP 110"
2.05528760803502e-15,2.43219430207211e-10,"FITC","GFP","GFP 30 TOP"
1.85869508571003e-14,2.26649190451653e-10,"FITC","GFP","GFP 40 TOP"
1.02974795089581e-13,2.23479764191819e-10,"FITC","GFP","GFP 50 TOP"
4.17851686710777e-13,2.0422505265513e-10,"FITC","GFP","GFP 60 TOP"
1.28605365753111e-12,1.89214569330215e-10,"FITC","GFP","GFP 70 TOP"
3.33242845217621e-12,2.24208990515285e-10,"FITC","GFP","GFP 80 TOP"
7.75059228617403e-12,1.98039381867784e-10,"FITC","GFP","GFP 90 TOP"
1.67632544878864e-11,1.93897487700451e-10,"FITC","GFP","GFP 100 TOP"
3.45350759103888e-11,1.70041463384405e-10,"FITC","GFP","GFP 110 TOP"
3.38335914611817e-09,4.27744674682617e-10,"microspheres","","OD600"
3.08515658620745e-09,5.50387836806476e-10,"microspheres","","OD700"
