"calibrant","fluorophore","media","volume_uL","concentration","concentration_M","replicate","well","OD600","OD700","GFP 30","GFP 40","GFP 50","GFP 60","GFP 70","GFP 80","GFP 90","GFP 100","GFP 110","GFP 120","GFP 130","GFP 140","GFP 150","GFP 30 TOP","GFP 40 TOP","GFP 50 TOP","GFP 60 TOP","GFP 70 TOP","GFP 80 TOP","GFP 90 TOP","GFP 100 TOP","GFP 110 TOP","GFP 120 TOP","GFP 130 TOP","GFP 140 TOP","GFP 150 TOP","row","column"
"FITC","GFP","ddH20",125,7.5e+17,0.00997,1,"A1",NA,NA,791,7649,41529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,3659,20287,75143,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1
"FITC","GFP","ddH20",125,3.75e+17,0.00498,1,"A2",NA,NA,480,4635,25309,92305,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,2198,12273,46427,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2
"FITC","GFP","ddH20",125,1.88e+17,0.00249,1,"A3",NA,NA,273,2662,14652,54956,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,1229,6840,26058,76632,NA,NA,NA,NA,NA,NA,NA,NA,"A",3
"FITC","GFP","ddH20",125,9.38e+16,0.00125,1,"A4",NA,NA,150,1466,8094,30754,90276,NA,NA,NA,NA,NA,NA,NA,NA,74,685,3850,14733,43709,NA,NA,NA,NA,NA,NA,NA,NA,"A",4
"FITC","GFP","ddH20",125,4.69e+16,0.000623,1,"A5",NA,NA,80,760,4216,16127,47910,NA,NA,NA,NA,NA,NA,NA,NA,40,374,2058,7908,23580,59895,NA,NA,NA,NA,NA,NA,NA,"A",5
"FITC","GFP","ddH20",125,2.34e+16,0.000311,1,"A6",NA,NA,40,388,2166,8314,24806,62827,NA,NA,NA,NA,NA,NA,NA,17,179,1008,3867,11572,29755,68013,NA,NA,NA,NA,NA,NA,"A",6
"FITC","GFP","ddH20",125,1.17e+16,0.000156,1,"A7",NA,NA,21,202,1116,4272,12850,32745,75024,NA,NA,NA,NA,NA,NA,11,94,526,2005,5966,15243,35092,75787,NA,NA,NA,NA,NA,"A",7
"FITC","GFP","ddH20",125,5.86e+15,7.79e-05,1,"A8",NA,NA,12,96,551,2109,6324,16253,37323,80018,NA,NA,NA,NA,NA,6,49,264,1012,3007,7696,17711,38499,78752,NA,NA,NA,NA,"A",8
"FITC","GFP","ddH20",125,2.93e+15,3.89e-05,1,"A9",NA,NA,3,52,281,1075,3211,8192,19011,40782,83143,NA,NA,NA,NA,2,25,138,527,1581,4008,9278,20086,41130,79934,NA,NA,NA,"A",9
"FITC","GFP","ddH20",125,1.47e+15,1.95e-05,1,"A10",NA,NA,5,25,145,548,1633,4210,9594,20937,42735,83170,NA,NA,NA,0,12,73,280,842,2156,4982,10643,22060,42533,80674,NA,NA,"A",10
"FITC","GFP","ddH20",125,7.33e+14,9.73e-06,1,"A11",NA,NA,4,14,78,297,881,2249,5243,11279,22849,44954,84041,NA,NA,2,5,44,153,452,1193,2732,5807,11734,23058,43489,77073,NA,"A",11
"FITC","GFP","ddH20",125,0,0,1,"A12",NA,NA,0,4,2,10,39,106,224,486,1014,1931,3693,6495,11769,0,0,3,6,27,68,160,343,677,1323,2576,4510,7419,"A",12
"FITC","GFP","ddH20",125,7.5e+17,0.00997,2,"B1",NA,NA,808,7716,41416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,3677,20230,75028,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1
"FITC","GFP","ddH20",125,3.75e+17,0.00498,2,"B2",NA,NA,458,4404,24176,88778,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,1979,11027,41661,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2
"FITC","GFP","ddH20",125,1.88e+17,0.00249,2,"B3",NA,NA,262,2515,14007,52413,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,1164,6433,24542,72213,NA,NA,NA,NA,NA,NA,NA,NA,"B",3
"FITC","GFP","ddH20",125,9.38e+16,0.00125,2,"B4",NA,NA,149,1434,7941,30094,88672,NA,NA,NA,NA,NA,NA,NA,NA,70,669,3758,14380,42468,NA,NA,NA,NA,NA,NA,NA,NA,"B",4
"FITC","GFP","ddH20",125,4.69e+16,0.000623,2,"B5",NA,NA,78,753,4209,15925,47403,NA,NA,NA,NA,NA,NA,NA,NA,39,371,2068,7872,23501,59846,NA,NA,NA,NA,NA,NA,NA,"B",5
"FITC","GFP","ddH20",125,2.34e+16,0.000311,2,"B6",NA,NA,39,390,2171,8304,24740,63016,NA,NA,NA,NA,NA,NA,NA,21,182,1008,3865,11533,29509,67746,NA,NA,NA,NA,NA,NA,"B",6
"FITC","GFP","ddH20",125,1.17e+16,0.000156,2,"B7",NA,NA,20,200,1121,4282,12790,32779,75004,NA,NA,NA,NA,NA,NA,10,92,507,1940,5809,14967,34242,73675,NA,NA,NA,NA,NA,"B",7
"FITC","GFP","ddH20",125,5.86e+15,7.79e-05,2,"B8",NA,NA,10,103,573,2176,6517,16628,38194,82236,NA,NA,NA,NA,NA,6,53,268,1032,3096,7944,18390,39413,80718,NA,NA,NA,NA,"B",8
"FITC","GFP","ddH20",125,2.93e+15,3.89e-05,2,"B9",NA,NA,3,50,280,1077,3202,8303,18978,40950,83629,NA,NA,NA,NA,2,23,142,545,1623,4168,9616,20802,42515,82838,NA,NA,NA,"B",9
"FITC","GFP","ddH20",125,1.47e+15,1.95e-05,2,"B10",NA,NA,2,27,145,551,1669,4247,9870,21111,43306,84285,NA,NA,NA,2,17,72,275,819,2107,4874,10517,21690,41882,78744,NA,NA,"B",10
"FITC","GFP","ddH20",125,7.33e+14,9.73e-06,2,"B11",NA,NA,2,15,77,295,884,2266,5223,11274,23218,45335,85040,NA,NA,1,7,42,157,469,1181,2770,5912,12243,23991,44474,79251,NA,"B",11
"FITC","GFP","ddH20",125,0,0,2,"B12",NA,NA,0,0,3,14,37,94,215,487,961,1947,3669,6457,11088,0,1,4,9,23,70,155,343,651,1309,2483,4540,7822,"B",12
"FITC","GFP","ddH20",125,7.5e+17,0.00997,3,"C1",NA,NA,793,7577,40883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,3670,20306,75463,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1
"FITC","GFP","ddH20",125,3.75e+17,0.00498,3,"C2",NA,NA,464,4437,24354,89579,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,2143,11929,44860,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",2
"FITC","GFP","ddH20",125,1.88e+17,0.00249,3,"C3",NA,NA,261,2524,13944,51970,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,1182,6594,24900,73079,NA,NA,NA,NA,NA,NA,NA,NA,"C",3
"FITC","GFP","ddH20",125,9.38e+16,0.00125,3,"C4",NA,NA,144,1372,7613,28815,84592,NA,NA,NA,NA,NA,NA,NA,NA,66,636,3579,13616,40180,NA,NA,NA,NA,NA,NA,NA,NA,"C",4
"FITC","GFP","ddH20",125,4.69e+16,0.000623,3,"C5",NA,NA,77,737,4103,15619,46358,NA,NA,NA,NA,NA,NA,NA,NA,37,352,1967,7486,22284,56880,NA,NA,NA,NA,NA,NA,NA,"C",5
"FITC","GFP","ddH20",125,2.34e+16,0.000311,3,"C6",NA,NA,39,381,2105,8055,24002,61479,NA,NA,NA,NA,NA,NA,NA,16,171,971,3701,11033,28277,65110,NA,NA,NA,NA,NA,NA,"C",6
"FITC","GFP","ddH20",125,1.17e+16,0.000156,3,"C7",NA,NA,20,197,1090,4155,12391,31927,72940,NA,NA,NA,NA,NA,NA,10,91,509,1950,5787,14901,34185,73669,NA,NA,NA,NA,NA,"C",7
"FITC","GFP","ddH20",125,5.86e+15,7.79e-05,3,"C8",NA,NA,10,99,540,2056,6173,15748,36108,77909,NA,NA,NA,NA,NA,2,48,259,1008,2981,7668,17670,38017,77752,NA,NA,NA,NA,"C",8
"FITC","GFP","ddH20",125,2.93e+15,3.89e-05,3,"C9",NA,NA,4,50,273,1047,3111,7992,18516,39797,80937,NA,NA,NA,NA,2,27,137,523,1568,4020,9261,20072,40703,80253,NA,NA,NA,"C",9
"FITC","GFP","ddH20",125,1.47e+15,1.95e-05,3,"C10",NA,NA,2,23,138,530,1584,4048,9382,20310,41438,80601,NA,NA,NA,0,13,66,259,766,1999,4532,9805,20061,38990,73807,NA,NA,"C",10
"FITC","GFP","ddH20",125,7.33e+14,9.73e-06,3,"C11",NA,NA,1,13,75,282,832,2151,5006,10691,21914,42676,80009,NA,NA,0,7,39,143,432,1109,2575,5510,11377,22128,41352,72439,NA,"C",11
