"cf","beta","calibrant","fluorophore","measure"
1.64032913776628e-15,2.43505349358509e-10,"FITC","GFP","GFP 30"
1.54149836181872e-14,2.23647775549191e-10,"FITC","GFP","GFP 40"
8.53241735961217e-14,2.09524794743675e-10,"FITC","GFP","GFP 50"
3.38099989260685e-13,2.03482049982522e-10,"FITC","GFP","GFP 60"
1.07103257669161e-12,1.88314181870328e-10,"FITC","GFP","GFP 70"
2.81891594477139e-12,1.94261699870685e-10,"FITC","GFP","GFP 80"
6.53563566229361e-12,1.6520988310458e-10,"FITC","GFP","GFP 90"
1.41256719827646e-11,2.29518724232912e-10,"FITC","GFP","GFP 100"
2.90396267315367e-11,2.00431090424536e-10,"FITC","GFP","GFP 110"
8.61358795753689e-16,2.40623076743591e-10,"FITC","GFP","GFP 30 TOP"
7.4202969911514e-15,2.24451790754604e-10,"FITC","GFP","GFP 40 TOP"
4.13200631656152e-14,2.19057472855282e-10,"FITC","GFP","GFP 50 TOP"
1.5724138549382e-13,2.00583524389911e-10,"FITC","GFP","GFP 60 TOP"
5.04982958084896e-13,1.84873346850286e-10,"FITC","GFP","GFP 70 TOP"
1.35686301800826e-12,2.05906767202396e-10,"FITC","GFP","GFP 80 TOP"
3.15825842699207e-12,1.98941823623681e-10,"FITC","GFP","GFP 90 TOP"
6.91681598072984e-12,1.77886026754186e-10,"FITC","GFP","GFP 100 TOP"
1.44093716080527e-11,2.17673925977579e-10,"FITC","GFP","GFP 110 TOP"
2.8493703237836e-11,2.0345069856221e-10,"FITC","GFP","GFP 120 TOP"
2.92192580957781e-09,4.01769679511199e-10,"microspheres","","OD600"
2.40078125e-09,5.46484375e-10,"microspheres","","OD700"
