calibrant,fluorophore,media,volume_uL,concentration,concentration_M,replicate,well
FITC,GFP,ddH20,125,7.50E+17,9.97E-03,1,A1
FITC,GFP,ddH20,125,3.75E+17,4.98E-03,1,A2
FITC,GFP,ddH20,125,1.88E+17,2.49E-03,1,A3
FITC,GFP,ddH20,125,9.38E+16,1.25E-03,1,A4
FITC,GFP,ddH20,125,4.69E+16,6.23E-04,1,A5
FITC,GFP,ddH20,125,2.34E+16,3.11E-04,1,A6
FITC,GFP,ddH20,125,1.17E+16,1.56E-04,1,A7
FITC,GFP,ddH20,125,5.86E+15,7.79E-05,1,A8
FITC,GFP,ddH20,125,2.93E+15,3.89E-05,1,A9
FITC,GFP,ddH20,125,1.47E+15,1.95E-05,1,A10
FITC,GFP,ddH20,125,7.33E+14,9.73E-06,1,A11
FITC,GFP,ddH20,125,0,0,1,A12
FITC,GFP,ddH20,125,7.50E+17,9.97E-03,2,B1
FITC,GFP,ddH20,125,3.75E+17,4.98E-03,2,B2
FITC,GFP,ddH20,125,1.88E+17,2.49E-03,2,B3
FITC,GFP,ddH20,125,9.38E+16,1.25E-03,2,B4
FITC,GFP,ddH20,125,4.69E+16,6.23E-04,2,B5
FITC,GFP,ddH20,125,2.34E+16,3.11E-04,2,B6
FITC,GFP,ddH20,125,1.17E+16,1.56E-04,2,B7
FITC,GFP,ddH20,125,5.86E+15,7.79E-05,2,B8
FITC,GFP,ddH20,125,2.93E+15,3.89E-05,2,B9
FITC,GFP,ddH20,125,1.47E+15,1.95E-05,2,B10
FITC,GFP,ddH20,125,7.33E+14,9.73E-06,2,B11
FITC,GFP,ddH20,125,0,0,2,B12
FITC,GFP,ddH20,125,7.50E+17,9.97E-03,3,C1
FITC,GFP,ddH20,125,3.75E+17,4.98E-03,3,C2
FITC,GFP,ddH20,125,1.88E+17,2.49E-03,3,C3
FITC,GFP,ddH20,125,9.38E+16,1.25E-03,3,C4
FITC,GFP,ddH20,125,4.69E+16,6.23E-04,3,C5
FITC,GFP,ddH20,125,2.34E+16,3.11E-04,3,C6
FITC,GFP,ddH20,125,1.17E+16,1.56E-04,3,C7
FITC,GFP,ddH20,125,5.86E+15,7.79E-05,3,C8
FITC,GFP,ddH20,125,2.93E+15,3.89E-05,3,C9
FITC,GFP,ddH20,125,1.47E+15,1.95E-05,3,C10
FITC,GFP,ddH20,125,7.33E+14,9.73E-06,3,C11
FITC,GFP,ddH20,125,0,0,3,C12
FITC,GFP,ddH20,125,7.50E+17,9.97E-03,4,D1
FITC,GFP,ddH20,125,3.75E+17,4.98E-03,4,D2
FITC,GFP,ddH20,125,1.88E+17,2.49E-03,4,D3
FITC,GFP,ddH20,125,9.38E+16,1.25E-03,4,D4
FITC,GFP,ddH20,125,4.69E+16,6.23E-04,4,D5
FITC,GFP,ddH20,125,2.34E+16,3.11E-04,4,D6
FITC,GFP,ddH20,125,1.17E+16,1.56E-04,4,D7
FITC,GFP,ddH20,125,5.86E+15,7.79E-05,4,D8
FITC,GFP,ddH20,125,2.93E+15,3.89E-05,4,D9
FITC,GFP,ddH20,125,1.47E+15,1.95E-05,4,D10
FITC,GFP,ddH20,125,7.33E+14,9.73E-06,4,D11
FITC,GFP,ddH20,125,0,0,4,D12
microspheres,,ddH20,125,891346154,1.18E-11,1,E1
microspheres,,ddH20,125,534807692,7.10E-12,1,E2
microspheres,,ddH20,125,320884615,4.26E-12,1,E3
microspheres,,ddH20,125,192530769,2.56E-12,1,E4
microspheres,,ddH20,125,115518461,1.53E-12,1,E5
microspheres,,ddH20,125,69311077,9.21E-13,1,E6
microspheres,,ddH20,125,41586646,5.52E-13,1,E7
microspheres,,ddH20,125,24951988,3.31E-13,1,E8
microspheres,,ddH20,125,14971193,1.99E-13,1,E9
microspheres,,ddH20,125,8982716,1.19E-13,1,E10
microspheres,,ddH20,125,5389630,7.16E-14,1,E11
microspheres,,ddH20,125,0,0,1,E12
microspheres,,ddH20,125,891346154,1.18E-11,2,F1
microspheres,,ddH20,125,534807692,7.10E-12,2,F2
microspheres,,ddH20,125,320884615,4.26E-12,2,F3
microspheres,,ddH20,125,192530769,2.56E-12,2,F4
microspheres,,ddH20,125,115518461,1.53E-12,2,F5
microspheres,,ddH20,125,69311077,9.21E-13,2,F6
microspheres,,ddH20,125,41586646,5.52E-13,2,F7
microspheres,,ddH20,125,24951988,3.31E-13,2,F8
microspheres,,ddH20,125,14971193,1.99E-13,2,F9
microspheres,,ddH20,125,8982716,1.19E-13,2,F10
microspheres,,ddH20,125,5389630,7.16E-14,2,F11
microspheres,,ddH20,125,0,0,2,F12
microspheres,,ddH20,125,891346154,1.18E-11,3,G1
microspheres,,ddH20,125,534807692,7.10E-12,3,G2
microspheres,,ddH20,125,320884615,4.26E-12,3,G3
microspheres,,ddH20,125,192530769,2.56E-12,3,G4
microspheres,,ddH20,125,115518461,1.53E-12,3,G5
microspheres,,ddH20,125,69311077,9.21E-13,3,G6
microspheres,,ddH20,125,41586646,5.52E-13,3,G7
microspheres,,ddH20,125,24951988,3.31E-13,3,G8
microspheres,,ddH20,125,14971193,1.99E-13,3,G9
microspheres,,ddH20,125,8982716,1.19E-13,3,G10
microspheres,,ddH20,125,5389630,7.16E-14,3,G11
microspheres,,ddH20,125,0,0,3,G12
microspheres,,ddH20,125,891346154,1.18E-11,4,H1
microspheres,,ddH20,125,534807692,7.10E-12,4,H2
microspheres,,ddH20,125,320884615,4.26E-12,4,H3
microspheres,,ddH20,125,192530769,2.56E-12,4,H4
microspheres,,ddH20,125,115518461,1.53E-12,4,H5
microspheres,,ddH20,125,69311077,9.21E-13,4,H6
microspheres,,ddH20,125,41586646,5.52E-13,4,H7
microspheres,,ddH20,125,24951988,3.31E-13,4,H8
microspheres,,ddH20,125,14971193,1.99E-13,4,H9
microspheres,,ddH20,125,8982716,1.19E-13,4,H10
microspheres,,ddH20,125,5389630,7.16E-14,4,H11
microspheres,,ddH20,125,0,0,4,H12
