"ï..strain","host","plasmid","plasmid_2","strain_2","media","sugar","amino_acids","inducer","concentration","init_ratio","init_dilution","well","time","600","mApple2:579,616","mNeon:479,520","row","column"
"","","","","","","","","",NA,NA,NA,"A1",219,0.123,11,20163,"A",1
"","","","","","","","","",NA,NA,NA,"A1",519,0.123,10,18962,"A",1
"","","","","","","","","",NA,NA,NA,"A1",819,0.123,11,19556,"A",1
"","","","","","","","","",NA,NA,NA,"A1",1119,0.123,10,19277,"A",1
"","","","","","","","","",NA,NA,NA,"A1",1419,0.123,8,19136,"A",1
"","","","","","","","","",NA,NA,NA,"A1",1719,0.123,10,19312,"A",1
"","","","","","","","","",NA,NA,NA,"A1",2019,0.123,12,18337,"A",1
"","","","","","","","","",NA,NA,NA,"A1",2319,0.123,13,18735,"A",1
"","","","","","","","","",NA,NA,NA,"A1",2619,0.123,8,19589,"A",1
"","","","","","","","","",NA,NA,NA,"A1",2919,0.123,8,17646,"A",1
"","","","","","","","","",NA,NA,NA,"A1",3219,0.123,11,19163,"A",1
"","","","","","","","","",NA,NA,NA,"A1",3519,0.123,12,18289,"A",1
"","","","","","","","","",NA,NA,NA,"A1",3819,0.123,9,19288,"A",1
"","","","","","","","","",NA,NA,NA,"A1",4119,0.123,11,18675,"A",1
"","","","","","","","","",NA,NA,NA,"A1",4419,0.123,9,18497,"A",1
"","","","","","","","","",NA,NA,NA,"A1",4719,0.123,12,19092,"A",1
"","","","","","","","","",NA,NA,NA,"A1",5019,0.123,10,19712,"A",1
"","","","","","","","","",NA,NA,NA,"A1",5319,0.123,8,18995,"A",1
"","","","","","","","","",NA,NA,NA,"A1",5619,0.123,10,18903,"A",1
"","","","","","","","","",NA,NA,NA,"A1",5919,0.123,10,19188,"A",1
"","","","","","","","","",NA,NA,NA,"A1",6219,0.123,10,18978,"A",1
"","","","","","","","","",NA,NA,NA,"A1",6519,0.123,10,18428,"A",1
"","","","","","","","","",NA,NA,NA,"A1",6819,0.123,8,18732,"A",1
"","","","","","","","","",NA,NA,NA,"A1",7119,0.123,12,18508,"A",1
"","","","","","","","","",NA,NA,NA,"A1",7419,0.123,13,18418,"A",1
"","","","","","","","","",NA,NA,NA,"A1",7719,0.123,9,18724,"A",1
"","","","","","","","","",NA,NA,NA,"A1",8019,0.123,11,18399,"A",1
"","","","","","","","","",NA,NA,NA,"A1",8319,0.123,11,18605,"A",1
"","","","","","","","","",NA,NA,NA,"A1",8619,0.123,10,18228,"A",1
"","","","","","","","","",NA,NA,NA,"A1",8919,0.123,9,18052,"A",1
"","","","","","","","","",NA,NA,NA,"A1",9219,0.123,8,18889,"A",1
"","","","","","","","","",NA,NA,NA,"A1",9519,0.123,12,18295,"A",1
"","","","","","","","","",NA,NA,NA,"A1",9819,0.123,10,18862,"A",1
"","","","","","","","","",NA,NA,NA,"A1",10119,0.123,11,18880,"A",1
"","","","","","","","","",NA,NA,NA,"A1",10419,0.123,11,18273,"A",1
"","","","","","","","","",NA,NA,NA,"A1",10719,0.123,11,18521,"A",1
"","","","","","","","","",NA,NA,NA,"A1",11019,0.123,11,18559,"A",1
"","","","","","","","","",NA,NA,NA,"A1",11319,0.123,8,18910,"A",1
"","","","","","","","","",NA,NA,NA,"A1",11619,0.123,7,18224,"A",1
"","","","","","","","","",NA,NA,NA,"A1",11919,0.123,11,17977,"A",1
"","","","","","","","","",NA,NA,NA,"A1",12219,0.123,9,18309,"A",1
"","","","","","","","","",NA,NA,NA,"A1",12519,0.123,10,18704,"A",1
"","","","","","","","","",NA,NA,NA,"A1",12819,0.122,7,18171,"A",1
"","","","","","","","","",NA,NA,NA,"A1",13119,0.123,9,18092,"A",1
"","","","","","","","","",NA,NA,NA,"A1",13419,0.123,9,17984,"A",1
"","","","","","","","","",NA,NA,NA,"A1",13719,0.123,12,18664,"A",1
"","","","","","","","","",NA,NA,NA,"A1",14019,0.123,10,18900,"A",1
"","","","","","","","","",NA,NA,NA,"A1",14319,0.123,11,18464,"A",1
"","","","","","","","","",NA,NA,NA,"A1",14619,0.123,12,18110,"A",1
"","","","","","","","","",NA,NA,NA,"A1",14919,0.123,11,18265,"A",1
"","","","","","","","","",NA,NA,NA,"A1",15219,0.122,10,18618,"A",1
"","","","","","","","","",NA,NA,NA,"A1",15519,0.122,10,18323,"A",1
"","","","","","","","","",NA,NA,NA,"A1",15819,0.123,11,18858,"A",1
"","","","","","","","","",NA,NA,NA,"A1",16119,0.123,10,18525,"A",1
"","","","","","","","","",NA,NA,NA,"A1",16419,0.122,7,18721,"A",1
"","","","","","","","","",NA,NA,NA,"A1",16719,0.122,10,18087,"A",1
"","","","","","","","","",NA,NA,NA,"A1",17019,0.122,10,18447,"A",1
"","","","","","","","","",NA,NA,NA,"A1",17319,0.123,7,18307,"A",1
"","","","","","","","","",NA,NA,NA,"A1",17619,0.123,9,18750,"A",1
"","","","","","","","","",NA,NA,NA,"A1",17919,0.122,11,18150,"A",1
"","","","","","","","","",NA,NA,NA,"A1",18219,0.122,10,18541,"A",1
"","","","","","","","","",NA,NA,NA,"A1",18519,0.123,11,18660,"A",1
"","","","","","","","","",NA,NA,NA,"A1",18819,0.122,10,19133,"A",1
"","","","","","","","","",NA,NA,NA,"A1",19119,0.123,10,18278,"A",1
"","","","","","","","","",NA,NA,NA,"A1",19419,0.123,11,18764,"A",1
"","","","","","","","","",NA,NA,NA,"A1",19719,0.122,9,18774,"A",1
"","","","","","","","","",NA,NA,NA,"A1",20019,0.122,8,18897,"A",1
"","","","","","","","","",NA,NA,NA,"A1",20319,0.122,10,18787,"A",1
