"calibrant","fluorophore","media","concentration","replicate","well","OD600","OD700","GFP 40","GFP 50","GFP 60","GFP 70","GFP 80","GFP 90","GFP 100","GFP 110","GFP 120","row","column"
"fluorescein","GFP","PBS",10,1,"A1",0.0921,0.0831,1830,9811,36911,NA,NA,NA,NA,NA,NA,"A",1
"fluorescein","GFP","PBS",5,1,"A2",0.0942,0.0852,932,4993,19221,54510,NA,NA,NA,NA,NA,"A",2
"fluorescein","GFP","PBS",2.5,1,"A3",0.1015,0.0928,453,2434,9448,27864,NA,NA,NA,NA,NA,"A",3
"fluorescein","GFP","PBS",1.25,1,"A4",0.0985,0.0899,232,1253,4853,14513,36349,NA,NA,NA,NA,"A",4
"fluorescein","GFP","PBS",0.625,1,"A5",0.0957,0.0905,114,617,2404,7128,18282,41812,NA,NA,NA,"A",5
"fluorescein","GFP","PBS",0.3125,1,"A6",0.1027,0.0965,54,294,1137,3388,8672,20095,42244,NA,NA,"A",6
"fluorescein","GFP","PBS",0.15625,1,"A7",0.0984,0.0918,27,149,581,1733,4464,10204,21665,43374,NA,"A",7
"fluorescein","GFP","PBS",0.078125,1,"A8",0.0966,0.0949,14,76,296,883,2255,5224,11013,22278,42802,"A",8
"fluorescein","GFP","PBS",0.0390625,1,"A9",0.1007,0.0955,7,39,153,454,1160,2681,5671,11383,22231,"A",9
"fluorescein","GFP","PBS",0.01953125,1,"A10",0.0998,0.0953,3,19,76,227,578,1330,2842,5695,11008,"A",10
"fluorescein","GFP","PBS",0.009765625,1,"A11",0.1058,0.1008,2,11,42,124,316,729,1562,3143,6020,"A",11
"fluorescein","GFP","PBS",0,1,"A12",0.1086,0.102,0,2,7,20,52,119,246,491,969,"A",12
"fluorescein","GFP","PBS",10,2,"B1",0.0905,0.084,2170,11542,42376,NA,NA,NA,NA,NA,NA,"B",1
"fluorescein","GFP","PBS",5,2,"B2",0.0911,0.0854,928,4936,18887,53645,NA,NA,NA,NA,NA,"B",2
"fluorescein","GFP","PBS",2.5,2,"B3",0.09,0.0838,468,2522,9739,28562,NA,NA,NA,NA,NA,"B",3
"fluorescein","GFP","PBS",1.25,2,"B4",0.0932,0.0889,231,1247,4823,14304,35869,NA,NA,NA,NA,"B",4
"fluorescein","GFP","PBS",0.625,2,"B5",0.0923,0.0874,112,597,2314,6901,17604,40521,NA,NA,NA,"B",5
"fluorescein","GFP","PBS",0.3125,2,"B6",0.0939,0.0892,56,299,1158,3443,8880,20403,42963,NA,NA,"B",6
"fluorescein","GFP","PBS",0.15625,2,"B7",0.1007,0.0946,27,150,578,1722,4417,10297,21574,43215,NA,"B",7
"fluorescein","GFP","PBS",0.078125,2,"B8",0.0957,0.0908,13,73,286,857,2162,5080,10684,21470,41483,"B",8
"fluorescein","GFP","PBS",0.0390625,2,"B9",0.0957,0.0952,7,38,148,445,1127,2627,5554,11165,21597,"B",9
"fluorescein","GFP","PBS",0.01953125,2,"B10",0.1103,0.1055,4,19,74,223,563,1308,2794,5592,10697,"B",10
"fluorescein","GFP","PBS",0.009765625,2,"B11",0.1093,0.1044,2,10,41,121,312,726,1534,3068,5909,"B",11
"fluorescein","GFP","PBS",0,2,"B12",0.1027,0.0982,0,2,7,20,52,122,252,513,956,"B",12
"fluorescein","GFP","PBS",10,3,"C1",0.1468,0.1185,1671,8769,33015,NA,NA,NA,NA,NA,NA,"C",1
"fluorescein","GFP","PBS",5,3,"C2",0.1016,0.1176,936,4985,19136,54613,NA,NA,NA,NA,NA,"C",2
"fluorescein","GFP","PBS",2.5,3,"C3",0.0897,0.0877,487,2619,10078,29570,NA,NA,NA,NA,NA,"C",3
"fluorescein","GFP","PBS",1.25,3,"C4",0.0966,0.089,250,1330,5127,15429,38751,NA,NA,NA,NA,"C",4
"fluorescein","GFP","PBS",0.625,3,"C5",0.1054,0.0991,124,664,2559,7651,19627,44688,NA,NA,NA,"C",5
"fluorescein","GFP","PBS",0.3125,3,"C6",0.0995,0.0941,61,333,1280,3853,9783,22754,47388,NA,NA,"C",6
"fluorescein","GFP","PBS",0.15625,3,"C7",0.0997,0.0959,32,174,670,2011,5184,11869,24938,50197,NA,"C",7
"fluorescein","GFP","PBS",0.078125,3,"C8",0.1003,0.0948,16,87,338,1018,2588,6013,12642,25441,49472,"C",8
"fluorescein","GFP","PBS",0.0390625,3,"C9",0.097,0.0913,9,47,182,545,1390,3230,6844,13771,26431,"C",9
"fluorescein","GFP","PBS",0.01953125,3,"C10",0.0995,0.0942,5,24,95,282,724,1680,3530,7183,13821,"C",10
"fluorescein","GFP","PBS",0.009765625,3,"C11",0.1004,0.096,2,13,51,152,390,906,1913,3850,7460,"C",11
"fluorescein","GFP","PBS",0,3,"C12",0.1063,0.1,0,2,7,20,52,117,244,498,978,"C",12
"fluorescein","GFP","PBS",10,4,"D1",0.0883,0.0834,1901,9994,37406,NA,NA,NA,NA,NA,NA,"D",1
"fluorescein","GFP","PBS",5,4,"D2",0.0919,0.0871,944,4965,19101,54386,NA,NA,NA,NA,NA,"D",2
"fluorescein","GFP","PBS",2.5,4,"D3",0.0928,0.0866,470,2486,9732,28393,NA,NA,NA,NA,NA,"D",3
"fluorescein","GFP","PBS",1.25,4,"D4",0.0968,0.0925,219,1156,4510,13505,33991,NA,NA,NA,NA,"D",4
"fluorescein","GFP","PBS",0.625,4,"D5",0.1003,0.0947,115,614,2392,7088,18110,41487,NA,NA,NA,"D",5
"fluorescein","GFP","PBS",0.3125,4,"D6",0.0963,0.091,56,298,1172,3468,8910,20564,43074,NA,NA,"D",6
"fluorescein","GFP","PBS",0.15625,4,"D7",0.0949,0.0898,27,146,576,1684,4333,9989,21188,42712,NA,"D",7
"fluorescein","GFP","PBS",0.078125,4,"D8",0.0963,0.0912,14,74,291,863,2223,5099,10898,21882,42137,"D",8
"fluorescein","GFP","PBS",0.0390625,4,"D9",0.0984,0.0927,7,37,147,437,1121,2581,5476,11030,21377,"D",9
"fluorescein","GFP","PBS",0.01953125,4,"D10",0.0992,0.0936,3,19,77,225,577,1326,2807,5709,11010,"D",10
"fluorescein","GFP","PBS",0.009765625,4,"D11",0.1098,0.1048,2,10,40,118,307,702,1494,2994,5801,"D",11
"fluorescein","GFP","PBS",0,4,"D12",0.1049,0.0997,0,2,6,19,50,115,243,491,946,"D",12
"microspheres","","ddH20",807692307.7,1,"E1",0.9082,0.772,0,2,7,23,56,135,277,570,1102,"E",1
"microspheres","","ddH20",484615384.6,1,"E2",0.5497,0.4572,0,2,8,23,60,141,305,597,1176,"E",2
"microspheres","","ddH20",290769230.8,1,"E3",0.445,0.3738,0,2,8,23,60,139,293,589,1150,"E",3
"microspheres","","ddH20",174461538.5,1,"E4",0.2943,0.2496,0,2,8,22,59,135,284,576,1107,"E",4
"microspheres","","ddH20",104676923.1,1,"E5",0.1999,0.1722,0,2,7,22,57,131,277,565,1090,"E",5
"microspheres","","ddH20",62806153.85,1,"E6",0.161,0.1421,0,2,7,22,56,131,268,547,1078,"E",6
"microspheres","","ddH20",37683692.31,1,"E7",0.1362,0.1224,1,2,8,22,55,131,273,552,1022,"E",7
"microspheres","","ddH20",22610215.38,1,"E8",0.1239,0.1139,0,2,7,23,56,132,288,538,1096,"E",8
"microspheres","","ddH20",13566129.23,1,"E9",0.1167,0.1084,0,2,7,21,55,128,269,528,1011,"E",9
"microspheres","","ddH20",8139677.538,1,"E10",0.1052,0.0983,0,2,7,22,57,134,277,542,1076,"E",10
"microspheres","","ddH20",4883806.523,1,"E11",0.1017,0.0957,0,2,7,21,56,128,267,535,1050,"E",11
"microspheres","","ddH20",0,1,"E12",0.1007,0.0959,0,2,7,21,54,123,265,528,1001,"E",12
"microspheres","","ddH20",807692307.7,2,"F1",0.8487,0.7162,0,2,8,21,56,129,273,547,1073,"F",1
"microspheres","","ddH20",484615384.6,2,"F2",0.5781,0.4821,1,2,8,23,60,136,288,582,1130,"F",2
"microspheres","","ddH20",290769230.8,2,"F3",0.3934,0.3286,0,2,8,24,61,142,298,598,1142,"F",3
"microspheres","","ddH20",174461538.5,2,"F4",0.2767,0.2339,0,2,7,23,58,135,284,571,1133,"F",4
"microspheres","","ddH20",104676923.1,2,"F5",0.2097,0.1817,0,2,8,23,58,136,292,566,1109,"F",5
"microspheres","","ddH20",62806153.85,2,"F6",0.1654,0.1462,0,2,7,22,57,129,279,553,1079,"F",6
"microspheres","","ddH20",37683692.31,2,"F7",0.1362,0.1241,0,2,7,22,56,127,268,536,1055,"F",7
"microspheres","","ddH20",22610215.38,2,"F8",0.1315,0.1214,0,2,7,21,54,130,269,536,1066,"F",8
"microspheres","","ddH20",13566129.23,2,"F9",0.1113,0.1027,0,2,7,22,55,130,264,561,1088,"F",9
"microspheres","","ddH20",8139677.538,2,"F10",0.1076,0.1001,0,2,7,22,57,131,277,559,1082,"F",10
"microspheres","","ddH20",4883806.523,2,"F11",0.0997,0.0934,0,2,7,20,52,124,261,502,991,"F",11
"microspheres","","ddH20",0,2,"F12",0.1036,0.0994,0,2,7,20,54,124,260,522,999,"F",12
"microspheres","","ddH20",807692307.7,3,"G1",0.8686,0.7304,0,2,7,22,56,131,281,553,1096,"G",1
"microspheres","","ddH20",484615384.6,3,"G2",0.5947,0.4927,0,2,7,23,58,135,283,578,1112,"G",2
"microspheres","","ddH20",290769230.8,3,"G3",0.3973,0.3322,0,2,8,23,60,137,299,576,1121,"G",3
"microspheres","","ddH20",174461538.5,3,"G4",0.2801,0.2385,0,2,8,24,62,142,308,596,1171,"G",4
"microspheres","","ddH20",104676923.1,3,"G5",0.2072,0.1792,0,2,8,24,59,145,299,593,1192,"G",5
"microspheres","","ddH20",62806153.85,3,"G6",0.1572,0.1383,0,1,8,23,59,138,283,575,1088,"G",6
"microspheres","","ddH20",37683692.31,3,"G7",0.1364,0.123,0,2,8,22,57,132,280,562,1080,"G",7
"microspheres","","ddH20",22610215.38,3,"G8",0.1215,0.1119,0,1,7,22,58,136,286,557,1090,"G",8
"microspheres","","ddH20",13566129.23,3,"G9",0.1137,0.1059,0,2,7,22,56,132,277,559,1082,"G",9
