"cf","beta","calibrant","fluorophore","measure"
184.727423380549,0.00574759624626908,"fluorescein","GFP","GFP 40"
996.447161301119,-0.00354235187381888,"fluorescein","GFP","GFP 50"
3821.04972156311,-0.000473714337673158,"fluorescein","GFP","GFP 60"
11298.953070981,0.000201527635187288,"fluorescein","GFP","GFP 70"
29128.3782889558,-0.000748121513265721,"fluorescein","GFP","GFP 80"
65834.9342365029,0.00127508170363757,"fluorescein","GFP","GFP 90"
139940.146694077,0.000982238741907277,"fluorescein","GFP","GFP 100"
288001.553550677,-0.000879790172713573,"fluorescein","GFP","GFP 110"
567984.42938174,-0.00242703741977703,"fluorescein","GFP","GFP 120"
2.64499346746598e-08,4.77318409341387e-09,"microspheres","","GFP 40"
1.5168920457363e-09,8.13779775053263e-09,"microspheres","","OD600"
1.21544813615036e-09,7.88761279867322e-09,"microspheres","","OD700"
