"strain","host","plasmid","plasmid_2","strain_2","media","sugar","amino_acids","inducer","concentration","init_ratio","init_dilution","well","time","GFP","mCherry","OD600","OD700","row","column","normalised_OD","normalised_GFP","normalised_mCherry","calibrated_OD","calibrated_GFP"
"","","","","","","","","",NA,NA,NA,"A1",0,NA,NA,NA,NA,"A",1,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A2",0,NA,NA,NA,NA,"A",2,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A3",0,NA,NA,NA,NA,"A",3,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A4",0,NA,NA,NA,NA,"A",4,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A5",0,NA,NA,NA,NA,"A",5,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A6",0,NA,NA,NA,NA,"A",6,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A7",0,NA,NA,NA,NA,"A",7,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A8",0,NA,NA,NA,NA,"A",8,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A9",0,NA,NA,NA,NA,"A",9,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A10",0,NA,NA,NA,NA,"A",10,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A11",0,NA,NA,NA,NA,"A",11,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A12",0,NA,NA,NA,NA,"A",12,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B1",0,NA,NA,NA,NA,"B",1,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B2",0,NA,NA,NA,NA,"B",2,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B3",0,NA,NA,NA,NA,"B",3,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B4",0,NA,NA,NA,NA,"B",4,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B5",0,NA,NA,NA,NA,"B",5,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B6",0,NA,NA,NA,NA,"B",6,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B7",0,NA,NA,NA,NA,"B",7,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B8",0,NA,NA,NA,NA,"B",8,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B9",0,NA,NA,NA,NA,"B",9,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B10",0,NA,NA,NA,NA,"B",10,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B11",0,NA,NA,NA,NA,"B",11,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B12",0,NA,NA,NA,NA,"B",12,NA,NA,NA,NA,NA
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,1,0.140625,"C1",0,7984,1320,0.1074,0.1003,"C",1,0.01305,1418.07778868384,595.435601352702,10736780.6258955,0.00167424682102275
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.8,0.140625,"C2",0,7791,1110,0.1083,0.1006,"C",2,0.01335,1232.26998058002,385.799428039404,10983603.1690196,0.00145487371291719
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.6,0.140625,"C3",0,7150,1014,0.1101,0.1018,"C",3,0.01455,619.524268485224,291.26795600414,11970893.3415157,0.000731438391698188
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.4,0.140625,"C4",0,7076,891,0.1168,0.108,"C",4,0.02075,668.145837925193,176.431269063541,17071892.5660791,0.000788843217242743
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.2,0.140625,"C5",0,6931,761,0.1108,0.1012,"C",5,0.01395,386.509418717567,37.5308229309048,11477248.2552676,0.000456330513563605
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0,0.140625,"C6",0,6592,703,0.1208,0.1103,"C",6,0.02305,214.298878141512,-8.18312329969558,18964198.73003,0.000253010954928058
"","","","","","","","","",NA,NA,NA,"C7",0,NA,NA,NA,NA,"C",7,NA,NA,NA,NA,NA
