strain,host,plasmid,plasmid_2,strain_2,media,sugar,amino_acids,inducer,concentration,init_ratio,init_dilution,well
,,,,,,,,,,,,A1
,,,,,,,,,,,,A2
,,,,,,,,,,,,A3
,,,,,,,,,,,,A4
,,,,,,,,,,,,A5
,,,,,,,,,,,,A6
,,,,,,,,,,,,A7
,,,,,,,,,,,,A8
,,,,,,,,,,,,A9
,,,,,,,,,,,,A10
,,,,,,,,,,,,A11
,,,,,,,,,,,,A12
,,,,,,,,,,,,B1
,,,,,,,,,,,,B2
,,,,,,,,,,,,B3
,,,,,,,,,,,,B4
,,,,,,,,,,,,B5
,,,,,,,,,,,,B6
,,,,,,,,,,,,B7
,,,,,,,,,,,,B8
,,,,,,,,,,,,B9
,,,,,,,,,,,,B10
,,,,,,,,,,,,B11
,,,,,,,,,,,,B12
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,1,0.140625,C1
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0.8,0.140625,C2
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0.6,0.140625,C3
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0.4,0.140625,C4
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0.2,0.140625,C5
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0,0.140625,C6
,,,,,,,,,,,,C7
,,,,,,,,,,,,C8
,,,,,,,,,,,,C9
,,,,,,,,,,,,C10
,,,,,,,,,,,,C11
,,,,,M9,0.4% glycerol,casamino acids,AHL,0,,,C12
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,1,0.052734375,D1
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0.8,0.052734375,D2
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0.6,0.052734375,D3
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0.4,0.052734375,D4
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0.2,0.052734375,D5
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0,0.052734375,D6
,,,,,,,,,,,,D7
,,,,,,,,,,,,D8
,,,,,,,,,,,,D9
,,,,,,,,,,,,D10
,,,,,,,,,,,,D11
,,,,,M9,0.4% glycerol,casamino acids,AHL,0,,,D12
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,1,0.019775391,E1
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0.8,0.019775391,E2
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0.6,0.019775391,E3
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0.4,0.019775391,E4
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0.2,0.019775391,E5
JW_SPoCK634301,JW3910,p63_AF043,pMPES_AF01,MG-Gm-CFP,M9,0.4% glycerol,casamino acids,AHL,0,0,0.019775391,E6
,,,,,,,,,,,,E7
,,,,,,,,,,,,E8
,,,,,,,,,,,,E9
,,,,,,,,,,,,E10
,,,,,,,,,,,,E11
,,,,,M9,0.4% glycerol,casamino acids,AHL,0,,,E12
,,,,,,,,,,,,F1
,,,,,,,,,,,,F2
,,,,,,,,,,,,F3
,,,,,,,,,,,,F4
,,,,,,,,,,,,F5
,,,,,,,,,,,,F6
,,,,,,,,,,,,F7
,,,,,,,,,,,,F8
,,,,,,,,,,,,F9
,,,,,,,,,,,,F10
,,,,,,,,,,,,F11
,,,,,,,,,,,,F12
,,,,,,,,,,,,G1
,,,,,,,,,,,,G2
,,,,,,,,,,,,G3
,,,,,,,,,,,,G4
,,,,,,,,,,,,G5
,,,,,,,,,,,,G6
,,,,,,,,,,,,G7
,,,,,,,,,,,,G8
,,,,,,,,,,,,G9
,,,,,,,,,,,,G10
,,,,,,,,,,,,G11
,,,,,,,,,,,,G12
,,,,,,,,,,,,H1
,,,,,,,,,,,,H2
,,,,,,,,,,,,H3
,,,,,,,,,,,,H4
,,,,,,,,,,,,H5
,,,,,,,,,,,,H6
,,,,,,,,,,,,H7
,,,,,,,,,,,,H8
,,,,,,,,,,,,H9
,,,,,,,,,,,,H10
,,,,,,,,,,,,H11
,,,,,,,,,,,,H12
